Id,Name,External_Id,API_Id,NearestCity,County,Coordinates,Lat,Lng,Distance,UcIpmName,WeatherAPI_Id,Active,AllowToDeactivate,AllowToDelete,RegionId,RegionName,MissingRecords
58,Hastings Tract,122,,Dixon,Solano,"38.28,-121.79",38.28,-121.79,0.0,HASTINGS.A,1,False,True,False,8,Delta,180
137,Hastings Tract East,212,,Dixon,Solano,"38.28,-121.74",38.28,-121.74,0.0,HASTINGS_TRACT_EAST.A,1,True,False,False,8,Delta,0
190,Hemet,239,,Hemet,Riverside,"33.664747,-116.955121",33.664747,-116.955121,0.0,,1,True,False,False,14,South Inland,0
194,Highland,251,HIghland,Highland,San Bernadino,"34.112042,-117.1857",34.112042,-117.1857,0.0,,1,True,True,False,14,South Inland,0
180,HIRAKO HOBO,408,21356099,Big Island,Big Island,"20.0036,-155.6864",20.0036,-155.6864,0.0,,6,True,False,False,16,Hawaii -- Big Island,0
162,Holt,248,,Holt,San Joaquin,"37.9362813941819,-121.422474156428",37.936281394181904,-121.42247415642834,0.0,,1,True,False,False,8,Delta,0
35,Hopland FS,085,,Hopland,Mendocino,"39.01,-123.08",39.01,-123.08,0.0,HOPLAND.A,1,False,False,False,2,North Coast,180
125,Indio 2,200,,Indio,Riverside,"33.75,-116.26",33.75,-116.26,0.0,Indio_2.A,1,True,False,False,12,Desert Region,0
29,Irvine,075,,Irvine,Orange,"33.69,-117.72",33.69,-117.72,0.0,SNTA_ANA.A,1,True,False,False,3,South Coast,0
165,Jersey Island,247,,Oakley,Contra Costa,"38.033386,-121.701247",38.033386,-121.701247,0.0,,1,True,False,False,8,Delta,0
235,Johnstonville,267,,Johnstonville,Lassen,"40.364578,-120.559397",40.364578,-120.559397,0.0,,1,True,False,False,1,North Mountain Region,0
155,Joshua Tree,233,,Joshua Tree,San Bernardino,"34.05,-116.58",34.05,-116.58,0.0,,1,True,True,False,12,Desert Region,0
238,Kemoo,416,KMO,Waialua,Kemoo,"21.554427954801,-158.111447873854",21.554427954800957,-158.11144787385368,0.0,,6,True,True,False,19,Hawaii -- O'ahu,0
42,Kesterson,092,,Gustine,Merced,"37.03,-120.88",37.03,-120.88,0.0,KESTERSN.A,1,True,False,False,10,North San Joaquin Valley,180
10,Kettleman,021,,Kettleman City,Kings,"35.87,-119.89",35.87,-119.89,0.0,KETTLMAN.A,1,False,False,False,13,South San Joaquin Valley,180
52,King City-Oasis Rd.,113,,King City,Monterey,"36.12,-121.08",36.12,-121.08,0.0,KINGCTY2.A,1,True,False,False,4,Central Coast,0
178,KULA AG PARK HOBO,406,21356104,Pukalani,Maui,"20.7975,-156.3704",20.7975,-156.3704,0.0,,6,True,False,False,20,Hawaii -- Maui,0
102,La Jolla,173,,La Jolla,San Diego,"32.9,-117.25",32.9,-117.25,0.0,LA_JOLLA.A,1,True,False,False,3,South Coast,0
133,La Quinta II,208,,La Quinta,Riverside,"33.68,-116.27",33.68,-116.27,0.0,La_Quinta_II.A,1,True,False,False,12,Desert Region,0
151,Laguna Seca,229,,Monterey,Monterey ,"36.57,-121.79",36.57,-121.79,0.0,,1,True,False,False,4,Central Coast,0
117,Lake Arrowhead,192,,Lake Arrowhead,San Bernardino,"34.26,-117.22",34.26,-117.22,0.0,Lake Arrowhead,1,True,False,False,14,South Inland,0
169,Lancaster,256,,Lancaster,Los Angeles,"34.759475,-117.991997",34.759475,-117.991997,0.0,,1,True,False,False,12,Desert Region,0
171,Lemon Cove,258,,Lemon Cove,Tulare,"36.376917,-119.037972",36.376917,-119.037972,0.0,,1,True,False,False,13,South San Joaquin Valley,0
36,Lindcove,086,,Lindcove,Tulare,"36.36,-119.06",36.36,-119.06,0.0,LINDCOVE.A,1,False,False,False,13,South San Joaquin Valley,180
200,Linden,262,,Linden,San Joaquin,"38.065692,-121.071747",38.065692,-121.071747,0.0,,1,True,False,False,10,North San Joaquin Valley,0
97,Lodi West,166,,Lodi,San Joaquin,"38.13,-121.38",38.13,-121.38,0.0,LODI_WEST.A,1,False,False,False,10,North San Joaquin Valley,180
153,Lompoc,231,,Lompoc,Santa Barbara,"34.67,-120.51",34.67,-120.51,0.0,Lompoc.A,1,True,False,False,4,Central Coast,0
103,Long Beach,174,,Long Beach,Los Angeles,"33.8,-118.09",33.8,-118.09,0.0,LONG_BEACH.A,1,True,True,False,3,South Coast,0
21,Los Banos,056,,Los Banos,Merced,"37.01,-120.76",37.01,-120.76,0.0,LOSBANOS.A,1,True,False,False,10,North San Joaquin Valley,180
189,Macdoel II,236,,Macdoel,Siskiyou,"41.802476,-121.996159",41.802476,-121.996159,0.0,,1,True,False,False,1,North Mountain Region,0
79,Madera,145,,Madera,Madera,"37.02,-120.19",37.02,-120.19,0.0,MADERA.A,1,False,False,False,10,North San Joaquin Valley,180
113,Madera II,188,,Madera,Madera,"37.02,-120.15",37.02,-120.15,0.0,,1,False,False,False,10,North San Joaquin Valley,180
172,MALAEIMI HOBO,400,20121047,Alao,American Samoa,"-14.320684,-170.7403",-14.320684,-170.7403,0.0,,3,False,True,False,17,American Samoa,180
174,MALOJLOJ MEDA HOBO,402,20121046,Malojloj,Malojloj,"13.31893,144.76374",13.31893,144.76374,0.0,,3,False,False,False,18,Guam,180
27,Manteca,070,,Manteca,San Joaquin,"37.84,-121.22",37.84,-121.22,0.0,MANTECA.A,1,True,False,False,10,North San Joaquin Valley,0
183,MA'O HOBO,411,21356101,Waianae,O'ahu,"21.4505,-158.1582",21.4505,-158.1582,0.0,,6,True,False,False,19,Hawaii -- O'ahu,0
211,Maricopa,506,,Maricopa,Pinal (northwest),"33.068941,-111.972244",33.068941,-111.972244,0.0,,5,True,False,False,22,Arizona,0
193,Markleeville,246,,Markleeville,Alpine,"38.773409,-119.79193",38.773409,-119.79193,0.0,,1,True,False,False,1,North Mountain Region,0
16,McArthur,043,,Glenburn,Shasta,"41.06,-121.45",41.06,-121.45,0.0,MCARTHUR.A,1,True,False,False,1,North Mountain Region,0
75,Mecca,141,,Mecca,Riverside,"33.54,-115.99",33.54,-115.99,0.0,MECCA.A,1,False,True,False,12,Desert Region,180
37,Meloland,087,,El Centro,Imperial,"32.81,-115.45",32.81,-115.45,0.0,ELCENTRO.A,1,True,False,False,12,Desert Region,0
82,Merced,148,,Merced,Merced,"37.31,-120.39",37.31,-120.39,0.0,MERCED.A,1,True,False,False,10,North San Joaquin Valley,120
84,Miramar,150,,La Jolla,San Diego,"32.89,-117.14",32.89,-117.14,0.0,MIRAMAR.A,1,True,False,False,3,South Coast,0
28,Modesto,071,,Modesto,Stanislaus,"37.64,-121.19",37.64,-121.19,0.0,MODESTO.A,1,True,False,False,10,North San Joaquin Valley,0
212,Mohave,520,,Fort Mohave Reservation,Mohave (west central),"34.967462,-114.611077",34.967462,-114.611077,0.0,,5,True,False,False,22,Arizona,0
213,Mohave #2,528,,Arizona Village,Mohave,"34.878238,-114.566816",34.878238,-114.566816,0.0,,5,True,False,False,22,Arizona,0
92,Monrovia,159,,Monrovia,Los Angeles,"34.14,-117.98",34.14,-117.98,0.0,MONROVIA.A,1,True,False,False,14,South Inland,0
198,Montague,260,,Montague,Siskiyou,"41.798331,-122.463425",41.798331,-122.463425,0.0,,1,True,False,False,1,North Mountain Region,0
230,Moorpark,217,,Moorpark,Ventura,"34.269031,-118.849319",34.269031,-118.849319,0.0,,1,True,False,False,5,South-central Coast,0
105,Moraga,178,,Moraga,Contra Costa,"37.84,-122.14",37.84,-122.14,0.0,MORAGA.A,1,True,False,False,9,Bay Area,0
158,Moreno Valley,238,,Moreno Valley,Riverside,"33.9,-117.17",33.9,-117.17,0.0,,1,False,True,False,12,Desert Region,180
188,Newberry Springs II,234,,Newberry Springs,San Bernardino,"34.883472,-116.810247",34.883472,-116.810247,0.0,,1,True,False,False,14,South Inland,180
