Site_0_FeatureId,Site_0_FeatureName,Site_0_PermissionId,Site_1_FeatureId,Site_1_FeatureName,Site_1_PermissionId,Site_2_FeatureId,Site_2_FeatureName,Site_2_PermissionId,Site_3_FeatureId,Site_3_FeatureName,Site_3_PermissionId,Site_4_FeatureId,Site_4_FeatureName,Site_4_PermissionId,Site_5_FeatureId,Site_5_FeatureName,Site_5_PermissionId,WebAPIAccess,ranchGuid,userId
1,Ranch,3,2,Planting,3,3,Soil Sample,3,4,Fertilization,3,5,Irrigation,3,6,Data Export,3,False,3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,fe8ee7d9-5930-427a-9d37-98a0f24d94a1
1,Ranch,3,2,Planting,3,3,Soil Sample,3,4,Fertilization,3,5,Irrigation,3,6,Data Export,1,False,3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,a7005d6f-6268-4c07-88af-d3f97add3617
1,Ranch,3,2,Planting,3,3,Soil Sample,3,4,Fertilization,3,5,Irrigation,3,6,Data Export,3,False,3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,ce67680f-00b1-4922-b9c2-3fb00d5aca7e
1,Ranch,2,2,Planting,3,3,Soil Sample,3,4,Fertilization,3,5,Irrigation,3,6,Data Export,1,False,3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,c4606d0b-03f0-423d-86bb-cff36df1d373
