Id,Name
21586,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21587,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21588,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21589,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21590,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21591,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21593,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21594,"Placentia sandy loam, 2 to 9 percent slopes, MLRA 14"
21596,Mocho silt loam
21597,Mocho silt loam
21598,Mocho silt loam
21599,Mocho silt loam
21602,Cropley silty clay
21603,Cropley silty clay
21604,Salinas clay loam
21605,Salinas clay loam
21609,"Mocho silty clay loam, 0 to 2 percent slopes, MLRA 14"
21610,Salinas clay loam
21611,Salinas clay loam
21612,Salinas clay loam
21614,Salinas clay loam
21616,Mocho silt loam
21617,Mocho silt loam
21618,Mocho silt loam
21621,Salinas clay loam
21622,Salinas clay loam
21623,Salinas clay loam
21624,Salinas clay loam
21625,Salinas clay loam
21626,Salinas clay loam
21627,Salinas clay loam
21628,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21629,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21631,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21633,Salinas clay loam
21634,Salinas clay loam
21636,Xerorthents loamy
21637,Xerorthents loamy
21638,Mocho silt loam
21639,Mocho silt loam
21640,"Cropley silty clay, 0 to 2 percent slopes"
21641,"Cropley silty clay, 0 to 2 percent slopes"
21642,"Cropley silty clay, 0 to 2 percent slopes"
21656,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21657,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21658,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21659,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21661,Pacheco fine sandy loam
21687,"Chualar loam, 0 to 2 percent slopes"
21690,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21691,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21693,Metz Loamy Sand
21694,Metz Loamy Sand
21704,Mocho silt loam
21705,Mocho silt loam
21706,Mocho silt loam
21707,Salinas clay loam
21708,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21709,Salinas clay loam
21710,Mocho silt loam
21711,Salinas clay loam
21735,"Cropley silty clay, 0 to 2 percent slopes"
21736,"Cropley silty clay, 0 to 2 percent slopes"
21737,"Cropley silty clay, 0 to 2 percent slopes"
21738,"Cropley silty clay, 0 to 2 percent slopes"
21739,"Chualar loam, 0 to 2 percent slopes"
21751,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21754,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21755,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21760,Salinas clay loam
21761,Salinas clay loam
21771,Metz Fine Sandy Loam
21772,Metz Fine Sandy Loam
21773,Metz Fine Sandy Loam
21774,Metz Fine Sandy Loam
21784,"Yolo silt loam, 0 to 2 percent slopes, MLRA 17"
21788,Mocho silt loam
21789,Mocho silt loam
21790,Mocho silt loam
21791,Mocho silt loam
21792,Mocho silt loam
21793,Mocho silt loam
21794,Salinas clay loam
21795,Salinas clay loam
21796,Salinas clay loam
21797,Salinas clay loam
21799,Mocho silt loam
21800,Mocho silt loam
21802,Salinas clay loam
21804,Salinas clay loam
21805,Salinas clay loam
21806,Salinas clay loam
21807,Mocho silt loam
21808,Mocho silt loam
21812,"Mocho silty clay loam, 0 to 2 percent slopes, MLRA 14"
21815,"Placentia sandy loam, 2 to 9 percent slopes, MLRA 14"
21816,"Placentia sandy loam, 2 to 9 percent slopes, MLRA 14"
21818,Metz complex
21820,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21822,Pico fine sandy loam
21823,"Placentia sandy loam, 2 to 9 percent slopes, MLRA 14"
21824,"Placentia sandy loam, 2 to 9 percent slopes, MLRA 14"
21825,"Mocho silty clay loam, 0 to 2 percent slopes, MLRA 14"
21826,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21834,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21835,"Yolo silt loam, 0 to 2 percent slopes, MLRA 17"
21836,"Yolo silt loam, 0 to 2 percent slopes, MLRA 17"
21837,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21858,"Chualar loam, 0 to 2 percent slopes"
21860,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21861,Salinas clay loam
21862,Salinas clay loam
21863,Salinas clay loam
21864,Salinas clay loam
21865,Salinas clay loam
21866,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21867,Salinas clay loam
21868,Salinas clay loam
21869,Salinas clay loam
21870,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21871,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21872,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21873,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21874,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21875,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21876,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21878,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21879,Metz Fine Sandy Loam
21887,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21888,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21889,Salinas clay loam
21890,Cropley silty clay
21891,Cropley silty clay
21892,Salinas clay loam
21893,Salinas clay loam
21894,Elder sandy loam
21895,Xerorthents loamy
21896,Xerorthents loamy
21897,Elder sandy loam
21920,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21922,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21925,Metz Fine Sandy Loam
21927,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21930,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21931,"Antioch very fine sandy loam, 0 to 2 percent slopes"
21932,"Chualar loam, 0 to 2 percent slopes"
21936,Salinas clay loam
21937,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21938,Salinas clay loam
21939,Salinas clay loam
21940,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21941,Salinas clay loam
21943,"Placentia sandy loam, 0 to 2 percent slopes, MLRA 14"
21944,"Placentia sandy loam, 0 to 2 percent slopes, MLRA 14"
21950,"Antioch very fine sandy loam, 0 to 2 percent slopes"
21951,"Antioch very fine sandy loam, 0 to 2 percent slopes"
21968,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
22016,"Arroyo Seco gravelly loam, 0 to 2 percent slopes"
22018,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
22027,"Antioch very fine sandy loam, 0 to 2 percent slopes"
22028,"Antioch very fine sandy loam, 0 to 2 percent slopes"
22029,"Antioch very fine sandy loam, 0 to 2 percent slopes"
22030,"Chualar loam, 0 to 2 percent slopes"
22031,"Chualar loam, 0 to 2 percent slopes"
22032,"Antioch very fine sandy loam, 0 to 2 percent slopes"
22034,"Chualar loam, 0 to 2 percent slopes"
22035,"Chualar loam, 0 to 2 percent slopes"
22036,"Chualar loam, 0 to 2 percent slopes"
22039,"Placentia sandy loam, 0 to 2 percent slopes, MLRA 14"
22061,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
22065,"Arroyo Seco gravelly loam, 0 to 2 percent slopes"
22084,"Elkhorn sandy loam, 9 to 15 percent slopes"
22085,"Elkhorn sandy loam, 9 to 15 percent slopes"
22086,"Placentia sandy loam, 2 to 9 percent slopes, MLRA 14"
22087,"Chualar loam, 0 to 2 percent slopes"
22088,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
22091,"Danville sandy clay loam, 0 to 2 percent slopes"
22092,"Chualar loam, 0 to 2 percent slopes"
22097,"Chualar loam, 0 to 2 percent slopes"
22098,"Chualar loam, 0 to 2 percent slopes"
22099,"Chualar loam, 0 to 2 percent slopes"
22100,"Chualar loam, 0 to 2 percent slopes"
22101,"Chualar loam, 0 to 2 percent slopes"
22102,"Chualar loam, 0 to 2 percent slopes"
22110,"Elkhorn sandy loam, 9 to 15 percent slopes"
22111,"Elkhorn sandy loam, 9 to 15 percent slopes"
22112,"Arroyo Seco gravelly loam, 0 to 2 percent slopes"
22113,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
