RanchId,Acres,ObstructionDepth,CreateDT,LastUpdateDT,Deleted,Coordinates,Id,Name,Ranch_External_GUID
4504,50.0,,2024-07-18T23:36:16.203,2024-07-18T23:36:16.203,False,"36.72698,-121.638576",9511,Cabbage Plantation ,dac8275a-edc6-4d82-adc3-f0e398537308
4504,50.0,,2024-07-18T23:35:47.577,2024-07-18T23:35:47.577,False,"36.726426,-121.63555",9510,Corn Field,dac8275a-edc6-4d82-adc3-f0e398537308
4504,50.0,,2024-07-18T23:34:21.203,2024-07-18T23:34:21.203,False,"36.72381,-121.641281",9508,Lettuce plantation ,dac8275a-edc6-4d82-adc3-f0e398537308
4504,50.0,,2024-07-18T23:34:49.017,2024-07-18T23:34:49.017,False,"36.723312,-121.63656",9509,Strawberries Plantation,dac8275a-edc6-4d82-adc3-f0e398537308
